codigo_comuna,nombre_comuna,pop_chilean,pct_foreign,median_age_chilean,median_age_foreign,mean_schooling_chilean,mean_schooling_foreign,emp_rate_chilean,dependency_ratio,grd_total,grd_chilean,grd_foreign,grd_pct_foreign,grd_mean_los,grd_mean_los_chilean,grd_mean_los_foreign,grd_mean_severity,grd_mortality_rate,grd_top3_chapters,grd_rate_per_10k,eno_total,eno_chilean,eno_foreign,eno_desconocido,eno_top3_diseases,eno_rate_per_10k,log_pop_total,pct_unemployed,schooling_gap
13110,La Florida,335340.0,0.09860896445131376,38.0,34.0,12.846742116528745,13.96530903502031,65.99295673680061,46.80625237440616,49846,46736,3110,6.239216787706135,6.002897539774099,6.132361800395881,4.133388566694284,1.4035218054774716,2.9992376519680617,H25.9 | K80.2 | Z51.1,1329.8082361352697,2128,1539,342,247,VIH | Sifilis | Parotiditis,56.77149473369687,12.82671633529825,32.74555484271612,-1.118566918491565
13111,La Granja,101705.0,0.08583883870387848,39.0,32.0,10.85673384925022,12.150498640072527,59.35718379536063,49.86421223026395,14803,13943,860,5.809633182463014,5.393568871174762,5.440436061105931,4.633720930232558,1.482875092886577,2.526514895629264,Cap.15  EMBARAZO | PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.09  ENFERMEDADES DEL APARATO CIRCULATORIO (I00-I99),1321.4368606166645,943,454,108,381,VIH | Parotiditis | Coqueluche,84.17989323525737,11.619580142838768,39.54560310747423,-1.2937647908223067
13112,La Pintana,166483.0,0.04438194185345694,34.0,32.0,10.01,11.47,55.71,49.0,25556,24778,778,3.04,5.37,5.42,3.86,1.47,1.953,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",1456.8,1507,755,102,650,VIH | Parotiditis | Coqueluche,85.90761653393837,12.068045447615393,43.758748156014114,-1.4600000000000009
13114,LAS CONDES,261670.0,0.1061320835283307,38.0,40.0,15.967253020040872,16.103877582485353,69.12262491710636,47.11981103628505,10656,9651,1005,9.43,5.92,6.13,3.79,1.43,2.93,Cap.02  NEOPLASIAS (C00-D49) | Cap.19  LESIONES TRAUMÁTICAS | ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95),359.84,2123,970,231,922,VIH | Parotiditis | Sifilis,72.5219,12.587036706031556,29.710535742782373,-0.1366245624444815
13115,Lo Barnechea,98589.0,0.11010317094966016,34.0,42.0,14.86880298182538,15.031678750697155,63.15209016331526,45.969696576931554,6883,6204,679,9.86,5.166742081447964,5.2396094141211815,4.483568075117371,1.4259770448932152,1.7724829289553898,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",611.1703072278458,630,278,42,310,Parotiditis | Coqueluche | VIH,55.94,11.615364717891936,35.7512819549223,-0.1628757688717748
13116,Lo Espejo,80266.0,0.07504206135195557,38.0,32.0,10.356598016781083,11.212395235994707,56.82800098970328,0.4976239084561409,5269,4949,320,6.073258682862023,6.763142911368381,6.819357445948676,5.89375,1.626684380337825,2.770924274055798,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A), Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95), Cap.10  ENFERMEDADES DEL APARATO RESPIRATORIO (J00-J99)",603.5855432728106,678,366,72,240,"VIH, Parotiditis, Coqueluche",77.66767856120052,11.371108412301787,42.30400694318457,-0.8557972192136241
13117,Lo Prado,78678.0,0.13338767237960963,41.0,34.0,11.056758411989335,12.004300101844516,0.6259051783030468,0.4754654771140419,6169,5596,573,9.288377370724591,5.955584373480304,6.083631165117941,4.705061082024433,1.383803959753327,3.0637056248986867,"Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95), Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A), Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",675.7585715850587,591,442,149,0,"VIH, Sifilis, Parotiditis",64.73874465987512,11.41628239726536,99.35698459159289,-0.9475416898551803
13118,Macul,105336.0,0.14244543404459714,39.0,35.0,13.33633394303632,14.598976488911964,69.14035980991174,44.13281641111615,13343,12128,1215,9.105898223787753,5.520947313197931,5.670679419525066,4.026337448559671,1.5699617777111594,3.440005995653152,Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.15  EMBARAZO | PARTO Y PUERPERIO (O00-O9A) | Cap.19  LESIONES TRAUMÁTICAS | ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88),1077.7867528271406,890,405,110,375,VIH | Parotiditis | Coqueluche,71.89014539579968,11.71858098823553,29.14335637499156,-1.262642545875643
13119,maipu,469627.0,0.06187175389532561,38.0,34.0,12.64,12.98,62.55,43.27,62614,58932,3682,5.88,7.02,7.16,4.68,1.64,3.49,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.09  ENFERMEDADES DEL APARATO CIRCULATORIO (I00-I99)",1250.78,3316,1827,267,1222,VIH | Parotiditis | Coqueluche,66.24,13.12356265797981,36.77188557730724,-0.33999999999999986
13120,Ñuñoa,239323.0,0.0,37.0,,15.7067,0.0,77.3343,38.3377,17291,15769,1522,8.8023,20.9672,21.2153,18.3968,1.3757,2.9611,H26 | K80 | K35,716.0813,1735,830,255,650,VIH | Parotiditis | Coqueluche,71.8525,12.385569382942698,22.66570000000001,15.7067
